,0,1
Южно-Сахалинск,181727,"Южно-Сахалинск — город на Дальнем Востоке России. Административный центр Сахалинской области, образует муниципальное образование город Южно-Сахалинск со статусом городского округа[7], как административно-территориальная единица является городом областного значения.[8]"
Петропавловск-Камчатский,179526,"Петропавловск-Камчатский — город в России, административный центр Камчатского края. Составляет административно-территориальную единицу (город краевого подчинения)[4], в границах которой образовано муниципальное образование Петропавловск-Камчатский городской округ[5]."
Сызрань,178773,Сызрань — город в Самарской области Российской Федерации. Административный центр городского округа Сызрань и Сызранского муниципального района[3] (в состав района не входит). Население: 173 260[2] чел. (2017).
Норильск,175301,"Норильск — город краевого подчинения Красноярского края. Административный центр городского округа город Норильск. Расположен на севере края к югу от Таймырского полуострова[4], примерно в 90 км к востоку от Енисея. Норильск — самый северный в мире город с постоянным населением более 150 000 жителей."
Златоуст,174985,Златоуст — город в Челябинской области России. Административный центр Златоустовского городского округа. Население составляет 167 978[1] чел. (2017).
Каменск-Уральский,174710,"Каменск-Уральский — город в Свердловской области, центр Южного управленческого округа, административный центр муниципальных образований город Каменск-Уральский и Каменский городской округ (при этом не входя в последний).[4]"
Мытищи,173341,Мытищи — город в Московской области России. Образует административно-территориальную единицу (город областного значения с административной территорией) и одноимённое муниципальное образование городской округ Мытищи.
Люберцы,171978,"Люберцы — город (с 1925 года) в Московской области России, административный центр города областного подчинения Люберцы с административной территорией (до апреля 2017 года — Люберецкого района)[4][5] и городского округа Люберцы (до января 2017 года — Люберецкого муниципального района)[6]."
Волгодонск,170621,Волгодонск — город в Ростовской области России. Образует муниципальное образование со статусом городского округа Город Волгодонск.
Новочеркасск,169039,"Новочеркасск — город в Ростовской области, столица Донского казачества. Город Новочеркасск является городским округом."
Абакан,165183,"Абакан (хак. Ағбан) — город в России, столица Республики Хакасии."
Находка,159695,"Находка — город в Приморском крае России. Административно входит в Находкинский городской округ. Население — 149 316[2] чел. (2018), третий по величине город Приморья. С 1993 года отмечается устойчивое снижение численности населения."
Уссурийск,157946,"Уссурийск — город в России, административный центр Уссурийского городского округа (до 25 марта 2005 года — района[4]) Приморского края."
Березники,156350,"Березники — второй по величине город Пермского края, крупный промышленный центр, имеет статус города краевого значения и городского округа с единственным населённым пунктом в его составе. Население — 145 115[2] чел. (2017)."
Салават,156085,"Салават (башк. Салауат  слушать ) — город в России, один из крупных промышленных центров Республики Башкортостан. Город республиканского значения, образует муниципальное образование городской округ город Салават как единственный населённый пункт в его составе[3]."
Электросталь,155324,Электросталь (до 1928 года — Затишье) — город (с 26 декабря 1938 года) областного подчинения в Московской области России. Входит в городской округ Электросталь.
Миасс,151812,Миасс (рус. дореф. Міассъ) — город в Челябинской области России. Административный центр Миасского городского округа. Население составляет 151 856[1] чел. (2017).
Первоуральск,149800,"Первоуральск (до 1920 года — Васильевско-Шайтанский посёлок) — административный центр городского округа Первоуральск, город областного подчинения в Свердловской области России, четвёртый по численности населения город в Свердловской области после Екатеринбурга, Нижнего Тагила и Каменска-Уральского. Крупный промышленный и культурный центр Урала.[источник не указан 262 дня]"
КерчьОспаривается,147033,Кемь (карел. и фин. Kemi) — город в Республике Карелия Российской Федерации. Административный центр Кемского района.
Рубцовск,146386,"Рубцовск — город (с 1927 года) в Алтайском крае России. Административный центр Рубцовского района, в состав которого не входит. Образует городской округ город Рубцовск. В прошлом был крупным машиностроительным центром Западной Сибири. Назван в честь основателя, крестьянина-переселенца Михаила Рубцова."
Альметьевск,146309,"Альметьевск (тат. Әлмәт) — город (с 3 ноября 1953[2] г.) в Республике Татарстан Российской Федерации. Административный центр Альметьевского района. Образует муниципальное образование город Альметьевск со статусом городского поселения как единственный населённый пункт в его составе[3]. Самый крупный город в полицентрической Альметьевско-Бугульминско-Лениногорской агломерации и центр ТПК Юго-Восточной экономической зоны республики, четвёртый по численности населения город Татарстана."
Ковров,145492,"Ковров — город (с 1778[2]) в России, административный центр Ковровского района Владимирской области (в состав района не входит). Город областного подчинения, в границах которого образован одноимённый городской округ город Ковров[3][4][5][6]."
Коломна,144642,"Коломна — город в Московской области России. Образует административно-территориальную единицу (город областного значения); вместе с упразднённым муниципальным районом с 21 апреля 2017 года входит в муниципальное образование Коломенский городской округ. Один из древнейших и красивейших городов Подмосковья, крупный промышленный центр и транспортный узел, речной порт на Оке. Условно город упоминается в Лаврентьевской летописи под 1177 год как уже существующий, однако по последним раскопкам основание города относят к 1140—1160 гг[4].  В городе частично сохранился редкий памятник древнерусского оборонительного зодчества — Коломенский кремль."
Майкоп,144055,"Майкоп (адыг. Мыекъуапэ — долина яблонь[3]) — город в России, столица Республики Адыгея. Административный центр  городского округа город Майкоп, созданного на территории административно-территориальной единицы Майкопский республиканский городской округ[4][5]."
Пятигорск,142397,Пятигорск — город-курорт в Ставропольском крае Российской Федерации. Административный центр муниципального образования город-курорт Пятигорск. Крупнейший (по численности населения) город Кавказских Минеральных Вод и второй в крае после Ставрополя.
Одинцово,139021,"Одинцово — город (с 1957 года) в России, административный центр Одинцовского муниципального района Московской области, крупнейший населённый пункт городского поселения Одинцово и Одинцовского района. Западный пригород Москвы.
Через Одинцово проходит Можайское шоссе, на юге к черте города примыкает федеральная автодорога М1 «Беларусь» (Минское шоссе) (4 км от МКАД)."
Копейск,137604,"Копейск — город в Челябинской области России. Образует Копейский городской округ. Расположен на юге Западно-Сибирской равнины, граничит с городом Челябинском в его юго-восточной части. Население —148 136 чел. (2018 г.)[3] Входит в состав агломерации Большой Челябинск."
Хасавюрт,133929,"Хасавюрт — (кум. Хасав-юрт[2], чеч. Хаси-Эвл[3]), город на юге России, ныне в Республике Дагестан. Административный центр Хасавюртовского района, в состав которого не входит[4]. Образует городской округ город Хасавюрт."
Новомосковск,131227,"Новомосковск (до 1933 года — Бобрики, с 1933 по 1961 год — Сталиногорск) — город в Тульской области России, центр Новомосковского района и соответствующего муниципального образования город Новомосковск."
Кисловодск,128502,Кисловодск — город-курорт[3] в Ставропольском крае Российской Федерации. Административный центр городского округа «Город-курорт Кисловодск».
Серпухов,126496,"Серпухов — город в России, административный центр Серпуховского района (в его состав не входит) и городского округа Серпухов Московской области[4]."
Новочебоксарск,124094,Новочебоксарск (чуваш. Ҫӗнӗ Шупашкар) — город в Чувашской Республике Российской Федерации. Образует городской округ город Новочебоксарск.
Нефтеюганск,123276,"Нефтеюганск (от нефть и хант. ёган — река) — город в России, административный центр Нефтеюганского района Ханты-Мансийского автономного округа-Югры, третий (после Сургута и Нижневартовска) по размеру город округа, один из немногих российских региональных городов, превосходящих административный центр своего субъекта федерации (Ханты-Мансийск) как по численности населения, так и по промышленному потенциалу[2]."
Димитровград,122549,"Димитровград (до 1972 года — Мелекесс) — город в Ульяновской области России. Административный центр Мелекесского района, в который не входит, являясь городом областного значения[2], образует одноимённое муниципальное образование город Димитровград со статусом городского округа[3]."
Нефтекамск,121757,"Нефтекамск (башк. Нефтекама  слушать) — город в Республике Башкортостан Российской Федерации, образует муниципальное образование город Нефтекамск со статусом городского округа."
Черкесск,121439,"Черкесск — город на юге России, столица Карачаево-Черкесской Республики. Образует муниципальное образование Черкесский городской округ."
Орехово-Зуево,120620,"Орехово-Зуево — город областного подчинения в Московской области России. Находится на реке Клязьме, в 97 км к востоку от центра Москвы по автодороге М7 (77 км от МКАД), в 95 км к востоку от центра Москвы по Носовихинскому шоссе (78 км от МКАД) и в 76,2 км от МКАД по ж/д, Узел железнодорожных линий Горьковского направления и Большого кольца Московской железной дороги."
Дербент,119961,"Дербент (от перс. دربند‎ Дарбанд[7][8][9] — «Закрытые (связанные) врата», лезг. Кьвевар, Цал, азерб. Dərbənd, Dəmir Qapı, Демир-Капу — «железные врата»[10] Дәрбәнд, Шәһәр[11][12], таб. Цали, Дере-бент[13][14][15], рут. Дербенд[16], дарг. Чяли[17] — город на юге России в Республике Дагестан на узком проходе между Каспийским морем и предгорьем Кавказа. Первые поселения возникли здесь в эпоху ранней бронзы — в конце 4 тысячелетия до н. э.[18]"
Камышин,119924,"Камышин — город областного значения в Волгоградской области России. Административный центр Камышинского района (в состав района не входит), образует городской округ город Камышин."
Невинномысск,118351,"Невинномысск — город[4] в Ставропольском крае России. Образует городской округ город Невинномысск[5], промышленный центр Ставропольского края. Является единственным моногородом в Ставропольском крае, включённым в перечень монопрофильных муниципальных образований Российской Федерации[6]. 22 декабря 2017 года Правительством РФ было принято постановление о создании в границах города территории опережающего социально-экономического развития[7]."
Красногорск,116738,Красногорск — город областного подчинения в Московской области России с административной территорией (до апреля 2017 года — центр Красногорского района)[3][4] и центр городского округа Красногорск (до января 2017 года — Красногорского муниципального района)[5].
Муром,116078,"Муром — город (с 862[4]) в России, административный центр городского округа Муром и центральный город Муромского района (в состав района не входит) Владимирской области."
Батайск,112400,Батайск — город областного подчинения в Ростовской области России. Образует муниципальное образование «Город Батайск» со статусом городского округа.
Новошахтинск,111087,"Новошахтинск — город в Ростовской области России, образует муниципальное образование «Городской округ —город Новошахтинск»."
Сергиев Посад,110878,Сергиев Посад — город в Московской области. Административный центр[3] Сергиево-Посадского района Московской области.
Ноябрьск,110572,"Ноябрьск — город Ямало-Ненецкого автономного округа России,[5] второй по численности населения город автономного округа после Нового Уренгоя, один из немногих российских региональных городов, превосходящих административный центр своего субъекта федерации как по численности населения, так и по промышленному потенциалу[К. 2]."
Щёлково,110380,Щёлково — город в Щёлковском районе Московской области России. Административный центр Щёлковского района и муниципального образования городское поселение Щёлково.
Кызыл,109906,"Кызыл (тув. Кызыл — красный) — город в Российской Федерации, столица Республики Тыва. Образует городской округ город Кызыл."
Октябрьский,109379,"Октябрьский (башк. Октябрьский) — город в Республике Башкортостан Российской Федерации. Город республиканского значения, образует муниципальное образование городской округ город Октябрьский как единственный населённый пункт в его составе[5]."
Ачинск,109156,"Ачинск — город в Красноярском крае России, административный центр Ачинского района и городского округа города Ачинска. Пристань на реке Чулым."
Северск,108466,Северск— город (c 1954) в Томской области. Административный центр закрытого административно-территориального образования Северск.
Новокуйбышевск,108449,"Новокуйбышевск — город областного подчинения в Самарской области России, в 20 км к юго-западу от Самары. Центр одноимённого городского округа."
Елец,108404,"Елец — город (с 1146 года)[4] в России, административный центр Елецкого района Липецкой области. Является городом областного подчинения[5], в границах которого образовано муниципальное образование городской округ город Елец[6][7]. Находится в 78 км к западу от Липецка. Расположен на берегах реки Быстрой Сосны при впадении в неё реки Ельчик."
Арзамас,106367,"Арзамас — город (с 1578[4]) в России, в Нижегородской области. Город областного значения, образует одноимённое муниципальное образование городской округ город Арзамас[5]. Город находится в 112 км к югу от Нижнего Новгорода[6]."
ЕвпаторияОспаривается,105719,"Дятьково — город в России, административный центр Дятьковского района Брянской области."
Обнинск,104798,"Обнинск — первый наукоград России, город областного подчинения на севере Калужской области. Образует городской округ «Город Обнинск»[3]. Расположен на Среднерусской возвышенности, на реке Протве (приток Оки), в 38 километрах к юго-западу от границы Новой Москвы по Киевскому М3 или в 25 километрах по Калужскому А130 шоссе, в 80 километрах от МКАД, в 68 км к северо-востоку от Калуги."
Новый Уренгой,104144,"Новый Уренгой — город в России, в Ямало-Ненецком автономном округе, первый по величине город округа, один из немногих российских региональных городов, превосходящих административный центр своего субъекта федерации (Салехард) как по численности населения, так и по промышленному развитию[2]. Город расположен на берегу реки Евояха, притока Пура. Реки Тамчаруяха и Седэяха протекают через город[3] и делят его на две части — Северную и Южную. Территорию городского округа со всех сторон окружает Пуровский район."
Каспийск,103914,"Каспийск — город на юге России, в Республике Дагестан. Образует городской округ город Каспийск."
Элиста,103728,"Элиста[3] (от калм. Элст — песчаный; в 1944—1957 годах — Степной) — город на юге европейской части России. Столица и крупнейший город Республики Калмыкия. Образует городской округ город Элиста[4]. Расположен в балке одноимённой реки.mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨] в юго-восточной части возвышенности Ергени, в 1250 км к юго-востоку от Москвы."
Пушкино,102840,"Пушкино — город в России, административный центр Пушкинского района Московской области; единственный населённый пункт муниципального образования «Городское поселение Пушкино»[4]. Население — 105 479[3] чел. Расстояние от Москвы: 14 км от МКАД по железной дороге, 17 км от МКАД по Ярославскому шоссе, 30 км от центра Москвы — Красной площади. Железнодорожная магистраль, реки Уча и Серебрянка, как своеобразные стороны, образуют здесь солидный по площади зелёный треугольник, внутри которого разместились административный и деловой центр, различные организации, магазины, банки. На месте бывших окраин расположены густонаселённые микрорайоны: Дзержинец, Серебрянка, им. И. Арманд, Мамонтовка, Звягино, Клязьма, Кудринка, Новая Деревня и Заветы Ильича, Кавезино."
Жуковский,102729,Жуковский — город (городской округ) в Московской области России. Наукоград Российской Федерации. Расположен в 40 км к юго-востоку от Москвы. До 1947 — посёлок Стаханово.
Артём,102636,Артём — город в Приморском крае России. Расположен в долине реки Кневичанки в 38 км к северо-востоку от Владивостока[3]. Административный центр Артёмовского городского округа.
Междуреченск,101995,"Междуреченск — город областного подчинения в Кемеровской области России. Совместно с тринадцатью посёлками Междуреченского района Кемеровской области образует Междуреченский городской округ. Это один из крупнейших по количеству жителей, третий по площади[6] город Кемеровской области. Расположен на юге Западной Сибири, между реками Томь и Уса, в юго-восточной части Кузнецкого угольного бассейна (Кузбасса)."
Ленинск-Кузнецкий,101666,"Ленинск-Кузнецкий — город (с 1925, ранее, в 1922—1925 годах — Ленино, в 1759—1922 годах — Кольчугино) в России, административный центр Ленинск-Кузнецкого района Кемеровской области, центр Ленинск-Кузнецкого городского округа."
Сарапул,101390,"Сарапул (удм. Сарапул) — город в Удмуртской Республике России.
Третий по численности населения город республики[2] после Воткинска. Центр городского округа город Сарапул."
Ессентуки,100969,Ессентуки — город в Ставропольском крае[3]. Образует городской округ «город-курорт Ессентуки».
Воткинск,100034,"Воткинск (удм. Вотка Кар) — город (с 20 августа 1935 года) в Удмуртской Республике России, Административный центр Воткинского района, в состав которого не входит. Образует городской округ город Воткинск."
Ногинск,99762,Ногинск (до 1930 года — Богородск) — город в Московской области России. Административный центр Богородского городского округа.
Тобольск,99698,"Тобольск — город в Тюменской области России. Административный центр Городского округа город Тобольск. Ранее административный центр Тобольского района, Тобольского округа, Тобольского уезда. После муниципальной реформы на городской территории находится лишь администрация соседнего муниципалитета."
Ухта,99642,Ухта[2] (коми Уква) — город (с 1943 г.) в Республике Коми Российской Федерации. Образует городской округ «Ухта».
Серов,99381,"Серов — город на севере Свердловской области Российской Федерации, административный центр Серовского района (в состав района не входит). Серов является крупным промышленным и культурным центром Свердловской области и важным транспортным узлом, где пересекается автомобильный, железнодорожный, трубопроводный и воздушный транспорт."
Бердск,98809,"Бердск — город в Новосибирской области России, входит в Новосибирскую агломерацию[2]. Расположен к югу от Новосибирска на берегу Новосибирского водохранилища, второй по численности населения город Новосибирской области — 103 290[1] чел. (2017).mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨]."
Великие Луки,98778,"Великие Луки — город (с 1166[9]) в Псковской области России, «Город воинской славы»; является городом областного подчинения. Крупный многопрофильный торгово-промышленный и культурно-образовательный центр юга Псковской области[10].
В городе находится административный центр Великолукского муниципального района, причём город Великие Луки входит в самостоятельное муниципальное образование в составе Псковской области — городской округ Великие Луки."
Мичуринск,98758,"Мичуринск — город в Тамбовской области России, наукоград, расположен на правом берегу реки Лесной Воронеж. Административный центр Мичуринского района, в который не входит. Является городом областного значения. Образует городской округ город Мичуринск[3]. Население 93 330[2] чел. (2018). С 1635 по 1932 год назывался Козловом."
Киселёвск,98382,"Киселёвск — городской округ (с 1936 года) областного подчинения в Кемеровской области России, образует муниципальное образование Киселёвский городской округ. Это седьмой по количеству жителей и по площади территории город Кемеровской области. Расположен на юге Западной Сибири, в южной части Кузнецкого угольного бассейна (Кузбасса)."
Новотроицк,97914,"Новотроицк — город в Оренбургской области, городской округ."
Зеленодольск,97651,Зеленодольск (тат. Яшел Үзән) — город (с 1932 г.) в Республике Татарстан Российской Федерации. С 1958 года административный центр Зеленодольского района. Образует муниципальное образование город Зеленодольск со статусом городского поселения как единственный населённый пункт в его составе.[3]
Соликамск,97239,"Соликамск — город в Пермском крае России, административный центр Соликамского района (в который не входит), третий по величине город в регионе, имеет статус города краевого значения и городского округа с единственным населённым пунктом в его составе."
Раменское,96355,"Раменское — город в России, административный центр Раменского района Московской области; крупнейший населённый пункт городского поселения Раменское.
Население — 116 077[2] чел. (2018)."
Домодедово,96123,"Домодедово — город в Российской Федерации на юге Московской области, в 37 км от центра Москвы. Образует административно-территориальную единицу (город областного значения с административной территорией) и одноимённое муниципальное образование городской округ Домодедово. Население города составляет 127 850[3] чел. (2018), а округа — 172 113[3] чел. (2018)."
Магадан,95925,"Магадан — город-порт на северо-востоке России. Административный центр Магаданской области, образует муниципальное образование «город Магадан»."
Глазов,95835,"Глазов (удм. Глаз, Глазкар[4]) — самый северный город в Удмуртской Республике России. Административный центр Глазовского района, в состав которого не входит. Образует муниципальное образование город Глазов со статусом городского округа как единственный населённый пункт в его составе."
Каменск-Шахтинский,95306,"Каменск-Шахтинский[2] (до 1927 года — Каменская, с 1927 года по 1929 год — Каменск) — город (до 28 марта 1927 года станица) в Ростовской области России."
Железногорск,95057,"Железногорск — город (с 1962 года[3]) на северо-западе Курской области России, административный центр Железногорского района (с 1965 года). В состав района не входит, являясь городом областного значения, образующим муниципальное образование город Железногорск со статусом городского округа.[4]"
Канск,94230,"Канск — город (с 1782) в России, административный центр Канского района Красноярского края. Образует городской округ город Канск. Население — 90 231[1] чел. (2017)."
Назрань,93357,"Назрань (ингуш. Нана-Наьсаре) — город в России, административный центр Назрановского района республики Ингушетия, в состав которого не входит. Образует муниципальное образование город Назрань со статусом городского округа. Крупнейший город республики Ингушетия."
Гатчина,92566,"Гатчина (с 1923 по 2 августа 1929 года — Троцк, со 2 августа 1929 по 23 января 1944 года — Красногвардейск) — город (с 1796 года) в России, административный центр Гатчинского муниципального района Ленинградской области, Город воинской славы России (с апреля 2015)[3]."
Саров,92073,"Саров — город в России, закрытое административно-территориальное образование[4], является муниципальным образованием Нижегородской области[5], расположен на территории Нижегородской области и, главным образом, Республики Мордовия[6][7][8]. Наукоград Российской Федерации[9], датой основания считается 16 июня 1706 года[10]."
Новоуральск,91813,"Новоуральск (с 1954 по 1994 гг. — Свердлóвск-44) — город (с 1954 г.) в Свердловской области, закрытое административно-территориальное образование, административный центр Новоуральского городского округа. Основан в 1941 году. Расположен на реках: Ольховке и Бунарке."
Воскресенск,91301,"Воскресенск — город в Московской области, административный центр Воскресенского района. Численность населения — 93 565[1] чел. (2018)."
Долгопрудный,90976,"Долгопрудный — город областного подчинения в Московской области России, расположен в 18 км на север по железной дороге от Савёловского вокзала, в непосредственной близости от Москвы."
Бугульма,89144,Бугульма (тат. Бөгелмә) — город в Республике Татарстан Российской Федерации. Административный центр Бугульминского района. Образует муниципальное образование город Бугульма со статусом городского поселения как единственный населённый пункт в его составе. Является одним из центров Южно-Татарстанской полицентрической агломерации.
Кузнецк,88886,"Кузнецк — город (с 1780 года) в Пензенской области России. Административный центр Кузнецкого района, в состав которого не входит, являясь городом областного значения, образует муниципальное образование городской округ город Кузнецк[3]."
Губкин,88562,"Губкин — город (с 1955[2]) в России, административный центр Губкинского района (городского округа) Белгородской области. Расположен в северо-восточной части Белгородской области в 20 км к западу от Старого Оскола и в 116 км к северо-востоку от областного центра Белгорода, по обоим берегам реки Осколец, правобережного притока реки Оскол. Население — 86 999[1] чел. (2017). Наравне со Старым Осколом, является самым северным городом области."
Кинешма,88113,"Кинешма — город (с 1777[2]) в Ивановской области России. Административный центр Кинешемского района, в состав которого не входит[3], образует городской округ Кинешма[4]. Кинешма является вторым городом области по численности населения и промышленному развитию."
